tconst	title	Date	Rank	Gross	%YD	%LW	Theaters	Per Theater	Total Gross	Days
tt0499549	Avatar	Dec 18, 2009	1	$26,752,099			3,452	$7,750	$26,752,099	1
tt0499549	Avatar	Dec 19, 2009	1	$25,529,036	-5%		3,452	$7,395	$52,281,135	2
tt0499549	Avatar	Dec 20, 2009	1	$24,744,346	-3%		3,452	$7,168	$77,025,481	3
tt0499549	Avatar	Dec 21, 2009	1	$16,385,820	-34%		3,452	$4,747	$93,411,301	4
tt0499549	Avatar	Dec 22, 2009	1	$16,086,461	-2%		3,452	$4,660	$109,497,762	5
tt0499549	Avatar	Dec 23, 2009	2	$16,445,291	0.02		3,452	$4,764	$125,943,053	6
tt0499549	Avatar	Dec 24, 2009	1	$11,150,998	-32%		3,452	$3,230	$137,094,051	7
tt0499549	Avatar	Dec 25, 2009	2	$23,095,046	1.07	-14%	3,456	$6,683	$160,189,097	8
tt0499549	Avatar	Dec 26, 2009	1	$28,274,406	0.22	0.11	3,456	$8,181	$188,463,503	9
tt0499549	Avatar	Dec 27, 2009	1	$24,247,681	-14%	-2%	3,456	$7,016	$212,711,184	10
tt0499549	Avatar	Dec 28, 2009	1	$19,418,139	-20%	0.19	3,456	$5,619	$232,129,323	11
tt0499549	Avatar	Dec 29, 2009	1	$18,290,628	-6%	0.14	3,456	$5,292	$250,419,951	12
tt0499549	Avatar	Dec 30, 2009	1	$18,466,123	0.01	0.12	3,456	$5,343	$268,886,074	13
tt0499549	Avatar	Dec 31, 2009	1	$14,738,136	-20%	0.32	3,456	$4,265	$283,624,210	14
tt0499549	Avatar	Jan 1, 2010	1	$25,274,008	0.71	0.09	3,461	$7,303	$308,898,218	15
tt0499549	Avatar	Jan 2, 2010	1	$25,835,551	0.02	-9%	3,461	$7,465	$334,733,769	16
tt0499549	Avatar	Jan 3, 2010	1	$17,381,129	-33%	-28%	3,461	$5,022	$352,114,898	17
tt0499549	Avatar	Jan 4, 2010	1	$8,094,554	-53%	-58%	3,461	$2,339	$360,209,452	18
tt0499549	Avatar	Jan 5, 2010	1	$7,327,233	-9%	-60%	3,461	$2,117	$367,536,685	19
tt0499549	Avatar	Jan 6, 2010	1	$6,909,167	-6%	-63%	3,461	$1,996	$374,445,852	20
tt0499549	Avatar	Jan 7, 2010	1	$6,094,445	-12%	-59%	3,461	$1,761	$380,540,297	21
tt0499549	Avatar	Jan 8, 2010	1	$13,280,653	1.18	-47%	3,422	$3,881	$393,820,950	22
tt0499549	Avatar	Jan 9, 2010	1	$21,269,537	0.6	-18%	3,422	$6,216	$415,090,487	23
tt0499549	Avatar	Jan 10, 2010	1	$15,756,027	-26%	-9%	3,422	$4,604	$430,846,514	24
tt0499549	Avatar	Jan 11, 2010	1	$5,111,193	-68%	-37%	3,422	$1,494	$435,957,707	25
tt0499549	Avatar	Jan 12, 2010	1	$5,066,734	-1%	-31%	3,422	$1,481	$441,024,441	26
tt0499549	Avatar	Jan 13, 2010	1	$4,743,762	-6%	-31%	3,422	$1,386	$445,768,203	27
tt0499549	Avatar	Jan 14, 2010	1	$4,698,802	-1%	-23%	3,422	$1,373	$450,467,005	28
tt0499549	Avatar	Jan 15, 2010	2	$10,394,264	1.21	-22%	3,285	$3,164	$460,861,269	29
tt0499549	Avatar	Jan 16, 2010	1	$17,254,108	0.66	-19%	3,285	$5,252	$478,115,377	30
tt0499549	Avatar	Jan 17, 2010	1	$15,137,240	-12%	-4%	3,285	$4,608	$493,252,617	31
tt0499549	Avatar	Jan 18, 2010	1	$11,615,834	-23%	1.27	3,285	$3,536	$504,868,451	32
tt0499549	Avatar	Jan 19, 2010	1	$4,190,947	-64%	-17%	3,285	$1,276	$509,059,398	33
tt0499549	Avatar	Jan 20, 2010	1	$3,792,807	-10%	-20%	3,285	$1,155	$512,852,205	34
tt0499549	Avatar	Jan 21, 2010	1	$3,945,213	0.04	-16%	3,285	$1,201	$516,797,418	35
tt0499549	Avatar	Jan 22, 2010	1	$9,028,494	1.29	-13%	3,141	$2,874	$525,825,912	36
tt0499549	Avatar	Jan 23, 2010	1	$16,326,050	0.81	-5%	3,141	$5,198	$542,151,962	37
tt0499549	Avatar	Jan 24, 2010	1	$9,589,537	-41%	-37%	3,141	$3,053	$551,741,499	38
tt0499549	Avatar	Jan 25, 2010	1	$3,240,192	-66%	-72%	3,141	$1,032	$554,981,691	39
tt0499549	Avatar	Jan 26, 2010	1	$3,198,046	-1%	-24%	3,141	$1,018	$558,179,737	40
tt0499549	Avatar	Jan 27, 2010	1	$3,137,588	-2%	-17%	3,141	$999	$561,317,325	41
tt0499549	Avatar	Jan 28, 2010	1	$3,155,062	0.01	-20%	3,141	$1,004	$564,472,387	42
tt0499549	Avatar	Jan 29, 2010	1	$7,439,426	1.36	-18%	3,074	$2,420	$571,911,813	43
tt0499549	Avatar	Jan 30, 2010	1	$13,783,881	0.85	-16%	3,074	$4,484	$585,695,694	44
tt0499549	Avatar	Jan 31, 2010	1	$10,056,722	-27%	0.05	3,074	$3,272	$595,752,416	45
tt0499549	Avatar	Feb 1, 2010	1	$2,700,621	-73%	-17%	3,074	$879	$598,453,037	46
tt0499549	Avatar	Feb 2, 2010	1	$2,688,514	n/c	-16%	3,074	$875	$601,141,551	47
tt0499549	Avatar	Feb 3, 2010	1	$2,647,797	-2%	-16%	3,074	$861	$603,789,348	48
tt0499549	Avatar	Feb 4, 2010	1	$2,703,975	0.02	-14%	3,074	$880	$606,493,323	49
tt0499549	Avatar	Feb 5, 2010	2	$6,160,319	1.28	-17%	3,000	$2,053	$612,653,642	50
tt0499549	Avatar	Feb 6, 2010	2	$11,539,798	0.87	-16%	3,000	$3,847	$624,193,440	51
tt0499549	Avatar	Feb 7, 2010	1	$5,150,764	-55%	-49%	3,000	$1,717	$629,344,204	52
tt0499549	Avatar	Feb 8, 2010	1	$2,251,567	-56%	-17%	3,000	$751	$631,595,771	53
tt0499549	Avatar	Feb 9, 2010	1	$2,025,264	-10%	-25%	3,000	$675	$633,621,035	54
tt0499549	Avatar	Feb 10, 2010	1	$1,849,314	-9%	-30%	3,000	$616	$635,470,349	55
tt0499549	Avatar	Feb 11, 2010	1	$2,135,304	0.15	-21%	3,000	$712	$637,605,653	56
tt0499549	Avatar	Feb 12, 2010	4	$4,540,671	1.13	-26%	2,685	$1,691	$642,146,324	57
tt0499549	Avatar	Feb 13, 2010	4	$9,200,438	1.03	-20%	2,685	$3,427	$651,346,762	58
tt0499549	Avatar	Feb 14, 2010	4	$9,870,516	0.07	0.92	2,685	$3,676	$661,217,278	59
tt0499549	Avatar	Feb 15, 2010	3	$5,171,224	-48%	1.3	2,685	$1,926	$666,388,502	60
tt0499549	Avatar	Feb 16, 2010	4	$1,836,327	-64%	-9%	2,685	$684	$668,224,829	61
tt0499549	Avatar	Feb 17, 2010	2	$1,711,050	-7%	-7%	2,685	$637	$669,935,879	62
tt0499549	Avatar	Feb 18, 2010	2	$1,785,275	0.04	-16%	2,685	$665	$671,721,154	63
tt0499549	Avatar	Feb 19, 2010	4	$3,894,018	1.18	-14%	2,581	$1,509	$675,615,172	64
tt0499549	Avatar	Feb 20, 2010	2	$7,456,579	0.91	-19%	2,581	$2,889	$683,071,751	65
tt0499549	Avatar	Feb 21, 2010	2	$4,890,260	-34%	-50%	2,581	$1,895	$687,962,011	66
tt0499549	Avatar	Feb 22, 2010	2	$1,275,037	-74%	-75%	2,581	$494	$689,237,048	67
tt0499549	Avatar	Feb 23, 2010	2	$1,262,678	-1%	-31%	2,581	$489	$690,499,726	68
tt0499549	Avatar	Feb 24, 2010	2	$1,202,184	-5%	-30%	2,581	$466	$691,701,910	69
tt0499549	Avatar	Feb 25, 2010	2	$1,202,884	n/c	-33%	2,581	$466	$692,904,794	70
tt0499549	Avatar	Feb 26, 2010	4	$3,076,750	1.56	-21%	2,456	$1,253	$695,981,544	71
tt0499549	Avatar	Feb 27, 2010	3	$6,639,830	1.16	-11%	2,456	$2,704	$702,621,374	72
tt0499549	Avatar	Feb 28, 2010	3	$3,938,694	-41%	-19%	2,456	$1,604	$706,560,068	73
tt0499549	Avatar	Mar 1, 2010	4	$1,258,677	-68%	-1%	2,456	$512	$707,818,745	74
tt0499549	Avatar	Mar 2, 2010	2	$1,485,577	0.18	0.18	2,456	$605	$709,304,322	75
tt0499549	Avatar	Mar 3, 2010	2	$1,538,442	0.04	0.28	2,456	$626	$710,842,764	76
tt0499549	Avatar	Mar 4, 2010	1	$1,646,578	0.07	0.37	2,456	$670	$712,489,342	77
tt0499549	Avatar	Mar 5, 2010	6	$1,974,036	0.2	-36%	2,163	$913	$714,463,378	78
tt0499549	Avatar	Mar 6, 2010	5	$3,663,018	0.86	-45%	2,163	$1,693	$718,126,396	79
