tconst	title	Date	Rank	Gross	%YD	%LW	Theaters	Per Theater	Total Gross	Days
tt4154796	Avengers: Endgame	Apr 25, 2019	P	$60,000,000			0		$60,000,000	0
tt4154796	Avengers: Endgame	Apr 26, 2019	1	$157,461,641			4,662	$33,776	$157,461,641	1
tt4154796	Avengers: Endgame	Apr 27, 2019	1	$109,264,122	-31%		4,662	$23,437	$266,725,763	2
tt4154796	Avengers: Endgame	Apr 28, 2019	1	$90,389,244	-17%		4,662	$19,389	$357,115,007	3
tt4154796	Avengers: Endgame	Apr 29, 2019	1	$36,874,439	-59%		4,662	$7,910	$393,989,446	4
tt4154796	Avengers: Endgame	Apr 30, 2019	1	$33,110,349	-10%		4,662	$7,102	$427,099,795	5
tt4154796	Avengers: Endgame	May 1, 2019	1	$25,251,991	-24%		4,662	$5,417	$452,351,786	6
tt4154796	Avengers: Endgame	May 2, 2019	1	$21,542,852	-15%		4,662	$4,621	$473,894,638	7
tt4154796	Avengers: Endgame	May 3, 2019	1	$40,736,774	0.89	-74%	4,662	$8,738	$514,631,412	8
tt4154796	Avengers: Endgame	May 4, 2019	1	$61,527,049	0.51	-44%	4,662	$13,198	$576,158,461	9
tt4154796	Avengers: Endgame	May 5, 2019	1	$45,119,388	-27%	-50%	4,662	$9,678	$621,277,849	10
tt4154796	Avengers: Endgame	May 6, 2019	1	$10,709,607	-76%	-71%	4,662	$2,297	$631,987,456	11
tt4154796	Avengers: Endgame	May 7, 2019	1	$12,518,963	0.17	-62%	4,662	$2,685	$644,506,419	12
tt4154796	Avengers: Endgame	May 8, 2019	1	$8,429,166	-33%	-67%	4,662	$1,808	$652,935,585	13
tt4154796	Avengers: Endgame	May 9, 2019	1	$7,510,154	-11%	-65%	4,662	$1,611	$660,445,739	14
tt4154796	Avengers: Endgame	May 10, 2019	2	$16,190,479	1.16	-60%	4,662	$3,473	$676,636,218	15
tt4154796	Avengers: Endgame	May 11, 2019	1	$27,542,359	0.7	-55%	4,662	$5,908	$704,178,577	16
tt4154796	Avengers: Endgame	May 12, 2019	1	$19,567,066	-29%	-57%	4,662	$4,197	$723,745,643	17
tt4154796	Avengers: Endgame	May 13, 2019	1	$4,702,092	-76%	-56%	4,662	$1,009	$728,447,735	18
tt4154796	Avengers: Endgame	May 14, 2019	1	$5,742,618	0.22	-54%	4,662	$1,232	$734,190,353	19
tt4154796	Avengers: Endgame	May 15, 2019	1	$3,788,021	-34%	-55%	4,662	$813	$737,978,374	20
tt4154796	Avengers: Endgame	May 16, 2019	1	$3,416,496	-10%	-55%	4,662	$733	$741,394,870	21
