tconst	title	Date	Rank	Gross	%YD	%LW	Theaters	Per Theater	Total Gross	Days
tt4154756	Avengers: Infinity War	Apr 26, 2018	P	$39,000,000			4,474	$8,717	$39,000,000	0
tt4154756	Avengers: Infinity War	Apr 27, 2018	1	$106,334,939			4,474	$23,767	$106,334,939	1
tt4154756	Avengers: Infinity War	Apr 28, 2018	1	$82,131,612	-23%		4,474	$18,358	$188,466,551	2
tt4154756	Avengers: Infinity War	Apr 29, 2018	1	$69,231,632	-16%		4,474	$15,474	$257,698,183	3
tt4154756	Avengers: Infinity War	Apr 30, 2018	1	$24,740,117	-64%		4,474	$5,530	$282,438,300	4
tt4154756	Avengers: Infinity War	May 1, 2018	1	$23,426,108	-5%		4,474	$5,236	$305,864,408	5
tt4154756	Avengers: Infinity War	May 2, 2018	1	$16,966,862	-28%		4,474	$3,792	$322,831,270	6
tt4154756	Avengers: Infinity War	May 3, 2018	1	$15,501,270	-9%		4,474	$3,465	$338,332,540	7
tt4154756	Avengers: Infinity War	May 4, 2018	1	$31,453,749	1.03	-70%	4,474	$7,030	$369,786,289	8
tt4154756	Avengers: Infinity War	May 5, 2018	1	$46,676,705	0.48	-43%	4,474	$10,433	$416,462,994	9
tt4154756	Avengers: Infinity War	May 6, 2018	1	$36,644,356	-21%	-47%	4,474	$8,191	$453,107,350	10
tt4154756	Avengers: Infinity War	May 7, 2018	1	$8,283,575	-77%	-67%	4,474	$1,851	$461,390,925	11
tt4154756	Avengers: Infinity War	May 8, 2018	1	$10,673,500	0.29	-54%	4,474	$2,386	$472,064,425	12
tt4154756	Avengers: Infinity War	May 9, 2018	1	$7,051,981	-34%	-58%	4,474	$1,576	$479,116,406	13
tt4154756	Avengers: Infinity War	May 10, 2018	1	$6,895,697	-2%	-56%	4,474	$1,541	$486,012,103	14
tt4154756	Avengers: Infinity War	May 11, 2018	1	$15,986,612	1.32	-49%	4,474	$3,573	$501,998,715	15
tt4154756	Avengers: Infinity War	May 12, 2018	1	$26,938,937	0.69	-42%	4,474	$6,021	$528,937,652	16
tt4154756	Avengers: Infinity War	May 13, 2018	1	$19,152,498	-29%	-48%	4,474	$4,281	$548,090,150	17
tt4154756	Avengers: Infinity War	May 14, 2018	1	$4,625,938	-76%	-44%	4,474	$1,034	$552,716,088	18
tt4154756	Avengers: Infinity War	May 15, 2018	1	$6,009,292	0.3	-44%	4,474	$1,343	$558,725,380	19
tt4154756	Avengers: Infinity War	May 16, 2018	1	$4,193,985	-30%	-41%	4,474	$937	$562,919,365	20
tt4154756	Avengers: Infinity War	May 17, 2018	1	$3,441,594	-18%	-50%	4,474	$769	$566,360,959	21
tt4154756	Avengers: Infinity War	May 18, 2018	2	$7,306,785	1.12	-54%	4,002	$1,826	$573,667,744	22
tt4154756	Avengers: Infinity War	May 19, 2018	2	$12,791,859	0.75	-53%	4,002	$3,196	$586,459,603	23
tt4154756	Avengers: Infinity War	May 20, 2018	2	$9,354,259	-27%	-51%	4,002	$2,337	$595,813,862	24
tt4154756	Avengers: Infinity War	May 21, 2018	2	$2,708,094	-71%	-41%	4,002	$677	$598,521,956	25
tt4154756	Avengers: Infinity War	May 22, 2018	2	$2,859,727	0.06	-52%	4,002	$715	$601,381,683	26
tt4154756	Avengers: Infinity War	May 23, 2018	3	$1,901,495	-34%	-55%	4,002	$475	$603,283,178	27
tt4154756	Avengers: Infinity War	May 24, 2018	2	$1,911,460	0.01	-44%	4,002	$478	$605,194,638	28
tt4154756	Avengers: Infinity War	May 25, 2018	3	$4,234,857	1.22	-42%	3,768	$1,124	$609,429,495	29
tt4154756	Avengers: Infinity War	May 26, 2018	3	$6,473,278	0.53	-49%	3,768	$1,718	$615,902,773	30
tt4154756	Avengers: Infinity War	May 27, 2018	3	$6,586,522	0.02	-30%	3,768	$1,748	$622,489,295	31
tt4154756	Avengers: Infinity War	May 28, 2018	3	$5,159,885	-22%	0.91	3,768	$1,369	$627,649,180	32
tt4154756	Avengers: Infinity War	May 29, 2018	3	$1,978,217	-62%	-31%	3,768	$525	$629,627,397	33
tt4154756	Avengers: Infinity War	May 30, 2018	4	$1,464,526	-26%	-23%	3,768	$389	$631,091,923	34
tt4154756	Avengers: Infinity War	May 31, 2018	4	$1,407,009	-4%	-26%	3,768	$373	$632,498,932	35
