tconst	title	Date	Rank	Gross	%YD	%LW	Theaters	Per Theater	Total Gross	Days
tt1825683	Black Panther	Feb 15, 2018	P	$25,200,000			0		$25,200,000	
tt1825683	Black Panther	Feb 16, 2018	1	$75,941,146			4,020	$18,891	$75,941,146	1
tt1825683	Black Panther	Feb 17, 2018	1	$65,995,366	-13%		4,020	$16,417	$141,936,512	2
tt1825683	Black Panther	Feb 18, 2018	1	$60,067,439	-9%		4,020	$14,942	$202,003,951	3
tt1825683	Black Panther	Feb 19, 2018	1	$40,151,729	-33%		4,020	$9,988	$242,155,680	4
tt1825683	Black Panther	Feb 20, 2018	1	$20,857,361	-48%		4,020	$5,188	$263,013,041	5
tt1825683	Black Panther	Feb 21, 2018	1	$14,688,057	-30%		4,020	$3,654	$277,701,098	6
tt1825683	Black Panther	Feb 22, 2018	1	$14,253,324	-3%		4,020	$3,546	$291,954,422	7
tt1825683	Black Panther	Feb 23, 2018	1	$28,789,877	1.02	-62%	4,020	$7,162	$320,744,299	8
tt1825683	Black Panther	Feb 24, 2018	1	$47,553,478	0.65	-28%	4,020	$11,829	$368,297,777	9
tt1825683	Black Panther	Feb 25, 2018	1	$35,315,480	-26%	-41%	4,020	$8,785	$403,613,257	10
tt1825683	Black Panther	Feb 26, 2018	1	$8,098,481	-77%	-80%	4,020	$2,015	$411,711,738	11
tt1825683	Black Panther	Feb 27, 2018	1	$10,204,038	0.26	-51%	4,020	$2,538	$421,915,776	12
tt1825683	Black Panther	Feb 28, 2018	1	$6,876,570	-33%	-53%	4,020	$1,711	$428,792,346	13
tt1825683	Black Panther	Mar 1, 2018	1	$6,607,691	-4%	-54%	4,020	$1,644	$435,400,037	14
tt1825683	Black Panther	Mar 2, 2018	1	$16,257,536	1.46	-44%	4,084	$3,981	$451,657,573	15
tt1825683	Black Panther	Mar 3, 2018	1	$30,052,665	0.85	-37%	4,084	$7,359	$481,710,238	16
tt1825683	Black Panther	Mar 4, 2018	1	$19,996,734	-33%	-43%	4,084	$4,896	$501,706,972	17
tt1825683	Black Panther	Mar 5, 2018	1	$4,720,738	-76%	-42%	4,084	$1,156	$506,427,710	18
tt1825683	Black Panther	Mar 6, 2018	1	$6,258,583	0.33	-39%	4,084	$1,532	$512,686,293	19
tt1825683	Black Panther	Mar 7, 2018	1	$3,941,783	-37%	-43%	4,084	$965	$516,628,076	20
tt1825683	Black Panther	Mar 8, 2018	1	$4,251,525	0.08	-36%	4,084	$1,041	$520,879,601	21
tt1825683	Black Panther	Mar 9, 2018	2	$10,018,784	1.36	-38%	3,942	$2,542	$530,898,385	22
tt1825683	Black Panther	Mar 10, 2018	1	$18,352,112	0.83	-39%	3,942	$4,656	$549,250,497	23
tt1825683	Black Panther	Mar 11, 2018	1	$12,446,683	-32%	-38%	3,942	$3,157	$561,697,180	24
tt1825683	Black Panther	Mar 12, 2018	1	$4,035,653	-68%	-15%	3,942	$1,024	$565,732,833	25
tt1825683	Black Panther	Mar 13, 2018	1	$5,167,907	0.28	-17%	3,942	$1,311	$570,900,740	26
tt1825683	Black Panther	Mar 14, 2018	1	$3,843,374	-26%	-2%	3,942	$975	$574,744,114	27
tt1825683	Black Panther	Mar 15, 2018	1	$3,632,414	-5%	-15%	3,942	$921	$578,376,528	28
tt1825683	Black Panther	Mar 16, 2018	2	$7,482,380	1.06	-25%	3,834	$1,952	$585,858,908	29
tt1825683	Black Panther	Mar 17, 2018	1	$11,558,877	0.54	-37%	3,834	$3,015	$597,417,785	30
tt1825683	Black Panther	Mar 18, 2018	1	$7,609,433	-34%	-39%	3,834	$1,985	$605,027,218	31
tt1825683	Black Panther	Mar 19, 2018	1	$2,188,463	-71%	-46%	3,834	$571	$607,215,681	32
tt1825683	Black Panther	Mar 20, 2018	1	$2,834,515	0.3	-45%	3,834	$739	$610,050,196	33
tt1825683	Black Panther	Mar 21, 2018	1	$2,052,932	-28%	-47%	3,834	$535	$612,103,128	34
tt1825683	Black Panther	Mar 22, 2018	1	$2,155,108	0.05	-41%	3,834	$562	$614,258,236	35
tt1825683	Black Panther	Mar 23, 2018	2	$4,415,270	1.05	-41%	3,370	$1,310	$618,673,506	36
tt1825683	Black Panther	Mar 24, 2018	2	$7,643,962	0.73	-34%	3,370	$2,268	$626,317,468	37
tt1825683	Black Panther	Mar 25, 2018	2	$5,040,386	-34%	-34%	3,370	$1,496	$631,357,854	38
tt1825683	Black Panther	Mar 26, 2018	2	$1,819,598	-64%	-17%	3,370	$540	$633,177,452	39
tt1825683	Black Panther	Mar 27, 2018	2	$2,456,628	0.35	-13%	3,370	$729	$635,634,080	40
tt1825683	Black Panther	Mar 28, 2018	1	$1,742,732	-29%	-15%	3,370	$517	$637,376,812	41
tt1825683	Black Panther	Mar 29, 2018	2	$2,059,822	0.18	-4%	3,370	$611	$639,436,634	42
tt1825683	Black Panther	Mar 30, 2018	3	$4,090,617	0.99	-7%	2,988	$1,369	$643,527,251	43
tt1825683	Black Panther	Mar 31, 2018	3	$4,300,222	0.05	-44%	2,988	$1,439	$647,827,473	44
tt1825683	Black Panther	Apr 1, 2018	3	$3,096,076	-28%	-39%	2,988	$1,036	$650,923,549	45
tt1825683	Black Panther	Apr 2, 2018	3	$1,635,447	-47%	-10%	2,988	$547	$652,558,996	46
tt1825683	Black Panther	Apr 3, 2018	3	$1,667,090	0.02	-32%	2,988	$558	$654,226,086	47
tt1825683	Black Panther	Apr 4, 2018	2	$1,397,293	-16%	-20%	2,988	$468	$655,623,379	48
tt1825683	Black Panther	Apr 5, 2018	2	$1,302,361	-7%	-37%	2,988	$436	$656,925,740	49
