tcont	title	Date	Rank	Gross	%YD	%LW	Theaters	Per Theater	Total Gross	Days
tt10872600	Spider-Man: No Way Home	Dec 16, 2021	P	$50,000,000			3,767	$13,273	$50,000,000	
tt10872600	Spider-Man: No Way Home	Dec 17, 2021	1	$121,964,712			4,336	$28,128	$121,964,712	1
tt10872600	Spider-Man: No Way Home	Dec 18, 2021	1	$73,941,279	-39%		4,336	$17,053	$195,905,991	2
tt10872600	Spider-Man: No Way Home	Dec 19, 2021	1	$64,232,578	-13%		4,336	$14,814	$260,138,569	3
tt10872600	Spider-Man: No Way Home	Dec 20, 2021	1	$37,138,318	-42%		4,336	$8,565	$297,276,887	4
tt10872600	Spider-Man: No Way Home	Dec 21, 2021	1	$31,408,657	-15%		4,336	$7,244	$328,685,544	5
tt10872600	Spider-Man: No Way Home	Dec 22, 2021	1	$27,846,311	-11%		4,336	$6,422	$356,531,855	6
tt10872600	Spider-Man: No Way Home	Dec 23, 2021	1	$29,333,622	0.05		4,336	$6,765	$385,865,477	7
tt10872600	Spider-Man: No Way Home	Dec 24, 2021	1	$19,655,506	-33%	-84%	4,336	$4,533	$405,520,983	8
tt10872600	Spider-Man: No Way Home	Dec 25, 2021	1	$31,609,749	0.61	-57%	4,336	$7,290	$437,130,732	9
tt10872600	Spider-Man: No Way Home	Dec 26, 2021	1	$33,283,250	0.05	-48%	4,336	$7,676	$470,413,982	10
tt10872600	Spider-Man: No Way Home	Dec 27, 2021	1	$24,770,593	-26%	-33%	4,336	$5,713	$495,184,575	11
tt10872600	Spider-Man: No Way Home	Dec 28, 2021	1	$21,346,817	-14%	-32%	4,336	$4,923	$516,531,392	12
tt10872600	Spider-Man: No Way Home	Dec 29, 2021	1	$20,327,774	-5%	-27%	4,336	$4,688	$536,859,166	13
tt10872600	Spider-Man: No Way Home	Dec 30, 2021	1	$20,717,908	0.02	-29%	4,336	$4,778	$557,577,074	14
tt10872600	Spider-Man: No Way Home	Dec 31, 2021	1	$15,407,695	-26%	-22%	4,206	$3,663	$572,984,769	15
tt10872600	Spider-Man: No Way Home	Jan 1, 2022	1	$23,112,936	0.5	-27%	4,206	$5,495	$596,097,705	16
tt10872600	Spider-Man: No Way Home	Jan 2, 2022	1	$17,502,959	-24%	-47%	4,206	$4,161	$613,600,664	17
tt10872600	Spider-Man: No Way Home	Jan 3, 2022	1	$7,908,732	-55%	-68%	4,206	$1,880	$621,509,396	18
tt10872600	Spider-Man: No Way Home	Jan 4, 2022	1	$5,918,802	-25%	-72%	4,206	$1,407	$627,428,198	19
tt10872600	Spider-Man: No Way Home	Jan 5, 2022	1	$4,383,219	-26%	-78%	4,206	$1,042	$631,811,417	20
tt10872600	Spider-Man: No Way Home	Jan 6, 2022	1	$3,926,778	-10%	-81%	4,206	$934	$635,738,195	21
tt10872600	Spider-Man: No Way Home	Jan 7, 2022	1	$8,303,811	1.11	-46%	4,012	$2,070	$644,042,006	22
tt10872600	Spider-Man: No Way Home	Jan 8, 2022	1	$14,828,927	0.79	-36%	4,012	$3,696	$658,870,933	23
tt10872600	Spider-Man: No Way Home	Jan 9, 2022	1	$9,485,183	-36%	-46%	4,012	$2,364	$668,356,116	24
tt10872600	Spider-Man: No Way Home	Jan 10, 2022	1	$2,426,248	-74%	-69%	4,012	$605	$670,782,364	25
tt10872600	Spider-Man: No Way Home	Jan 11, 2022	1	$2,787,987	0.15	-53%	4,012	$695	$673,570,351	26
tt10872600	Spider-Man: No Way Home	Jan 12, 2022	1	$2,242,906	-20%	-49%	4,012	$559	$675,813,257	27
tt10872600	Spider-Man: No Way Home	Jan 13, 2022	1	$2,110,817	-6%	-46%	4,012	$526	$677,924,074	28
tt10872600	Spider-Man: No Way Home	Jan 14, 2022	2	$5,179,723	1.45	-38%	3,925	$1,320	$683,103,797	29
tt10872600	Spider-Man: No Way Home	Jan 15, 2022	2	$8,689,649	0.68	-41%	3,925	$2,214	$691,793,446	30
tt10872600	Spider-Man: No Way Home	Jan 16, 2022	2	$6,224,873	-28%	-34%	3,925	$1,586	$698,018,319	31
tt10872600	Spider-Man: No Way Home	Jan 17, 2022	1	$4,555,918	-27%	0.88	3,925	$1,161	$702,574,237	32
tt10872600	Spider-Man: No Way Home	Jan 18, 2022	2	$1,647,714	-64%	-41%	3,925	$420	$704,221,951	33
tt10872600	Spider-Man: No Way Home	Jan 19, 2022	2	$1,331,545	-19%	-41%	3,925	$339	$705,553,496	34
tt10872600	Spider-Man: No Way Home	Jan 20, 2022	2	$1,332,492	n/c	-37%	3,925	$339	$706,885,988	35
tt10872600	Spider-Man: No Way Home	Jan 21, 2022	2	$3,492,340	1.62	-33%	3,705	$943	$710,378,328	36
tt10872600	Spider-Man: No Way Home	Jan 22, 2022	1	$6,518,119	0.87	-25%	3,705	$1,759	$716,896,447	37
tt10872600	Spider-Man: No Way Home	Jan 23, 2022	1	$3,995,155	-39%	-36%	3,705	$1,078	$720,891,602	38
tt10872600	Spider-Man: No Way Home	Jan 24, 2022	1	$973,653	-76%	-79%	3,705	$263	$721,865,255	39
tt10872600	Spider-Man: No Way Home	Jan 25, 2022	1	$1,121,804	0.15	-32%	3,705	$303	$722,987,059	40
tt10872600	Spider-Man: No Way Home	Jan 26, 2022	1	$938,951	-16%	-29%	3,705	$253	$723,926,010	41
tt10872600	Spider-Man: No Way Home	Jan 27, 2022	1	$960,270	0.02	-28%	3,705	$259	$724,886,280	42
tt10872600	Spider-Man: No Way Home	Jan 28, 2022	1	$2,750,994	1.86	-21%	3,675	$749	$727,637,274	43
tt10872600	Spider-Man: No Way Home	Jan 29, 2022	1	$5,397,060	0.96	-17%	3,675	$1,469	$733,034,334	44
tt10872600	Spider-Man: No Way Home	Jan 30, 2022	1	$2,855,474	-47%	-29%	3,675	$777	$735,889,808	45
tt10872600	Spider-Man: No Way Home	Jan 31, 2022	1	$910,449	-68%	-6%	3,675	$248	$736,800,257	46
tt10872600	Spider-Man: No Way Home	Feb 1, 2022	1	$1,044,982	0.15	-7%	3,675	$284	$737,845,239	47
tt10872600	Spider-Man: No Way Home	Feb 2, 2022	1	$795,807	-24%	-15%	3,675	$217	$738,641,046	48
tt10872600	Spider-Man: No Way Home	Feb 3, 2022	1	$710,561	-11%	-26%	3,675	$193	$739,351,607	49
tt10872600	Spider-Man: No Way Home	Feb 4, 2022	3	$2,048,482	1.88	-26%	3,600	$569	$741,400,089	50
tt10872600	Spider-Man: No Way Home	Feb 5, 2022	2	$4,640,960	1.27	-14%	3,600	$1,289	$746,041,049	51
tt10872600	Spider-Man: No Way Home	Feb 6, 2022	2	$2,817,883	-39%	-1%	3,600	$783	$748,858,932	52
