tconst	title	Date	Rank	Gross	%YD	%LW	Theaters	Per Theater	Total Gross	Days
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 17, 2015	P	$57,000,000			0		$57,000,000	0
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 18, 2015	1	$119,119,282			4,134	$28,815	$119,119,282	1
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 19, 2015	1	$68,294,204	-43%		4,134	$16,520	$187,413,486	2
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 20, 2015	1	$60,553,189	-11%		4,134	$14,648	$247,966,675	3
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 21, 2015	1	$40,109,742	-34%		4,134	$9,702	$288,076,417	4
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 22, 2015	1	$37,361,729	-7%		4,134	$9,038	$325,438,146	5
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 23, 2015	1	$38,022,183	0.02		4,134	$9,197	$363,460,329	6
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 24, 2015	1	$27,395,725	-28%		4,134	$6,627	$390,856,054	7
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 25, 2015	1	$49,325,663	0.8	-59%	4,134	$11,932	$440,181,717	8
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 26, 2015	1	$56,731,532	0.15	-17%	4,134	$13,723	$496,913,249	9
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 27, 2015	1	$43,145,665	-24%	-29%	4,134	$10,437	$540,058,914	10
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 28, 2015	1	$31,362,029	-27%	-22%	4,134	$7,586	$571,420,943	11
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 29, 2015	1	$29,528,583	-6%	-21%	4,134	$7,143	$600,949,526	12
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 30, 2015	1	$28,085,057	-5%	-26%	4,134	$6,794	$629,034,583	13
tt2488496	Star Wars: Episode VII - The Force Awakens	Dec 31, 2015	1	$22,932,686	-18%	-16%	4,134	$5,547	$651,967,269	14
