tconst	title	Date	Rank	Gross	%YD	%LW	Theaters	Per Theater	Total Gross	Days
tt0120338	Titanic	Dec 19, 1997	1	$8,658,814			2,674	$3,238	$8,658,814	1
tt0120338	Titanic	Dec 20, 1997	1	$10,672,013	0.23		2,674	$3,991	$19,330,827	2
tt0120338	Titanic	Dec 21, 1997	1	$9,307,304	-13%		2,674	$3,481	$28,638,131	3
tt0120338	Titanic	Dec 22, 1997	1	$5,578,212	-40%		2,674	$2,086	$34,216,343	4
tt0120338	Titanic	Dec 23, 1997	1	$6,003,119	0.08		2,674	$2,245	$40,219,462	5
tt0120338	Titanic	Dec 24, 1997	1	$3,571,345	-41%		2,674	$1,336	$43,790,807	6
tt0120338	Titanic	Dec 25, 1997	1	$9,178,529	1.57		2,674	$3,433	$52,969,336	7
tt0120338	Titanic	Dec 26, 1997	1	$12,122,298	0.32	0.4	2,711	$4,472	$65,091,634	8
tt0120338	Titanic	Dec 27, 1997	1	$12,466,455	0.03	0.17	2,711	$4,598	$77,558,089	9
tt0120338	Titanic	Dec 28, 1997	1	$10,866,520	-13%	0.17	2,711	$4,008	$88,424,609	10
tt0120338	Titanic	Dec 29, 1997	1	$7,942,920	-27%	0.42	2,711	$2,930	$96,367,529	11
tt0120338	Titanic	Dec 30, 1997	1	$8,012,909	0.01	0.33	2,711	$2,956	$104,380,438	12
tt0120338	Titanic	Dec 31, 1997	1	$8,213,735	0.03	1.3	2,711	$3,030	$112,594,173	13
tt0120338	Titanic	Jan 1, 1998	1	$11,558,520	0.41	0.26	2,711	$4,264	$124,152,693	14
tt0120338	Titanic	Jan 2, 1998	1	$11,698,861	0.01	-3%	2,727	$4,290	$135,851,554	15
tt0120338	Titanic	Jan 3, 1998	1	$12,726,625	0.09	0.02	2,727	$4,667	$148,578,179	16
tt0120338	Titanic	Jan 4, 1998	1	$8,889,792	-30%	-18%	2,727	$3,260	$157,467,971	17
tt0120338	Titanic	Jan 5, 1998	1	$3,022,271	-66%	-62%	2,727	$1,108	$160,490,242	18
tt0120338	Titanic	Jan 6, 1998	1	$3,044,822	0.01	-62%	2,727	$1,117	$163,535,064	19
tt0120338	Titanic	Jan 7, 1998	1	$2,841,351	-7%	-65%	2,727	$1,042	$166,376,415	20
tt0120338	Titanic	Jan 8, 1998	1	$2,789,088	-2%	-76%	2,727	$1,023	$169,165,503	21
tt0120338	Titanic	Jan 9, 1998	1	$7,738,150	1.77	-34%	2,746	$2,818	$176,903,653	22
tt0120338	Titanic	Jan 10, 1998	1	$12,758,118	0.65	n/c	2,746	$4,646	$189,661,771	23
tt0120338	Titanic	Jan 11, 1998	1	$8,220,042	-36%	-8%	2,746	$2,993	$197,881,813	24
tt0120338	Titanic	Jan 12, 1998	1	$2,170,146	-74%	-28%	2,746	$790	$200,051,959	25
tt0120338	Titanic	Jan 13, 1998	1	$2,386,164	0.1	-22%	2,746	$869	$202,438,123	26
tt0120338	Titanic	Jan 14, 1998	1	$2,095,782	-12%	-26%	2,746	$763	$204,533,905	27
tt0120338	Titanic	Jan 15, 1998	1	$2,200,465	0.05	-21%	2,746	$801	$206,734,370	28
tt0120338	Titanic	Jan 16, 1998	1	$7,418,385	2.37	-4%	2,767	$2,681	$214,152,755	29
tt0120338	Titanic	Jan 17, 1998	1	$12,357,344	0.67	-3%	2,767	$4,466	$226,510,099	30
tt0120338	Titanic	Jan 18, 1998	1	$10,235,305	-17%	0.25	2,767	$3,699	$236,745,404	31
tt0120338	Titanic	Jan 19, 1998	1	$6,003,510	-41%	1.77	2,767	$2,170	$242,748,914	32
tt0120338	Titanic	Jan 20, 1998	1	$2,322,334	-61%	-3%	2,767	$839	$245,071,248	33
